topic,news_sentiment,news_volume,eksi_sentiment,eksi_volume,avg_favorites,google_trends,date
national,,,-0.7678,1.0,0.0,31.857142857142858,2024-02-12
national,0.9785,1.0,-0.8683000000000001,2.0,0.0,32.857142857142854,2024-02-19
national,0.9907,1.0,,,,70.85714285714286,2024-02-26
national,,,0.7502500000000001,2.0,0.0,62.857142857142854,2024-03-04
national,0.9835,1.0,,,,31.571428571428573,2024-03-11
national,,,0.2551,2.0,0.0,27.857142857142858,2024-03-18
national,,,0.8915333333333333,3.0,0.0,20.142857142857142,2024-04-01
national,0.8865333333333334,3.0,0.4382,1.0,0.0,47.714285714285715,2024-04-08
national,-0.41305,4.0,,,,46.57142857142857,2024-04-15
national,0.28696666666666665,3.0,,,,23.857142857142858,2024-04-22
national,,,-0.2266,1.0,0.0,17.714285714285715,2024-04-29
national,-0.0021,1.0,0.8179,1.0,0.0,15.428571428571429,2024-05-06
national,0.9119,1.0,,,,17.857142857142858,2024-05-13
national,,,-0.9863,1.0,0.0,20.0,2024-05-20
national,,,-0.9709,1.0,0.0,18.857142857142858,2024-05-27
national,,,0.7105,1.0,0.0,19.142857142857142,2024-06-03
national,0.9498,1.0,,,,18.285714285714285,2024-06-10
national,0.3574,3.0,0.9278,1.0,0.0,30.142857142857142,2024-06-17
national,-0.5154666666666666,3.0,0.2324,1.0,0.0,25.142857142857142,2024-06-24
national,-0.4921,1.0,0.3606,2.0,0.0,23.142857142857142,2024-07-01
national,0.6777,2.0,,,,30.0,2024-07-08
national,0.2313,1.0,,,,30.571428571428573,2024-07-15
national,-0.4412,1.0,0.8572000000000001,3.0,0.0,25.571428571428573,2024-07-29
national,,,-0.7779499999999999,4.0,0.0,37.57142857142857,2024-08-05
national,-0.34,3.0,-0.3273,3.0,0.0,33.142857142857146,2024-08-12
national,-0.75095,2.0,-0.5514,1.0,0.0,19.285714285714285,2024-08-19
national,0.1772,1.0,,,,21.857142857142858,2024-08-26
national,0.4292,2.0,0.040700000000000014,2.0,0.0,21.285714285714285,2024-09-02
national,0.6284,2.0,-0.16786666666666664,3.0,0.0,15.857142857142858,2024-09-09
national,0.01739999999999997,2.0,-0.3651,2.0,0.0,14.428571428571429,2024-09-16
national,-0.22205,4.0,-0.49266000000000004,5.0,0.0,8.285714285714286,2024-09-23
national,0.596,1.0,0.3563,3.0,0.0,4.0,2024-09-30
national,0.1829,1.0,-0.9967,1.0,0.0,13.142857142857142,2024-10-07
national,-0.4647,1.0,-0.7788999999999999,5.0,0.0,10.857142857142858,2024-10-14
national,-0.00366666666666667,3.0,-0.0014500000000000068,2.0,0.0,6.857142857142857,2024-10-21
national,0.9948,1.0,-0.6424,2.0,0.0,7.285714285714286,2024-10-28
national,,,0.5454,1.0,0.0,6.571428571428571,2024-11-04
national,-0.2388,2.0,-0.7823500000000001,2.0,0.0,4.714285714285714,2024-11-11
national,-0.224,1.0,0.9507,1.0,0.0,5.285714285714286,2024-11-18
national,0.626725,4.0,-0.02284999999999998,2.0,0.0,5.857142857142857,2024-11-25
national,-0.08396,5.0,-0.8728,2.0,0.0,4.428571428571429,2024-12-02
national,0.41245,4.0,-0.003975000000000006,4.0,0.0,4.571428571428571,2024-12-09
national,,,-0.20166666666666666,3.0,0.0,4.428571428571429,2024-12-16
national,0.20526666666666663,3.0,0.8005,2.0,0.0,4.571428571428571,2024-12-23
national,,,-0.30250000000000005,3.0,0.0,5.571428571428571,2024-12-30
national,-0.7635,1.0,-0.80225,4.0,0.0,4.285714285714286,2025-01-06
national,0.9336,1.0,-0.9701,1.0,0.0,5.285714285714286,2025-01-13
national,0.2919333333333333,3.0,-0.9409000000000001,2.0,0.0,6.428571428571429,2025-01-20
national,,,-0.9908,1.0,0.0,10.0,2025-01-27
national,-0.42915000000000003,2.0,-0.06442500000000001,8.0,0.0,9.571428571428571,2025-02-03
national,0.36724999999999997,2.0,0.11882499999999999,8.0,0.0,8.714285714285714,2025-02-10
national,0.33504999999999996,2.0,-0.9617666666666667,3.0,0.0,6.0,2025-02-17
national,0.3087,1.0,-0.98535,2.0,0.0,3.0,2025-03-03
national,,,-0.06355,2.0,0.0,2.4285714285714284,2025-03-10
national,-0.3084,1.0,0.9513,1.0,0.0,2.5714285714285716,2025-03-17
national,-0.3607,3.0,-0.9626,1.0,0.0,3.5714285714285716,2025-03-24
national,0.7618,1.0,-0.2945,1.0,0.0,3.4285714285714284,2025-03-31
national,0.34175,2.0,-0.7902,2.0,0.0,4.714285714285714,2025-04-07
national,-0.5500499999999999,2.0,-0.9141,1.0,0.0,59.714285714285715,2025-04-14
national,0.68885,4.0,0.0014562500000000062,16.0,0.0,58.857142857142854,2025-04-21
national,,,-0.377225,4.0,0.0,16.571428571428573,2025-04-28
national,,,0.0418125,8.0,0.0,16.0,2025-05-05
national,-0.2559,1.0,0.72495,2.0,0.0,18.0,2025-05-12
